类别	原文	出处	不翻译原因
挂起-线上多人教程	~s~Health and armor are placed around the area in the same way as weapons.	本体/MTUT/Key:00aa755b	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Pick up the health.	本体/MTUT/Key:07455fec	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Select Games from the Multiplayer menu on your phone.	本体/MTUT/Key:0a6c0086	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Weapons are placed around the area - their locations are represented on your radar by icons.	本体/MTUT/Key:0bbf0b88	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Use ~PAD_RSTICK_DOWN~ while locked on to a target to focus your aim on his head.	本体/MTUT/Key:0c2ce951	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~View the current cash scores.	本体/MTUT/Key:14f8fb53	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~You can set up the appearance of your multiplayer character on the Player Model screen.	本体/MTUT/Key:1ccb8c85	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~In a free-for-all deathmatch game your objective is to kill all other players while surviving for as long as possible.	本体/MTUT/Key:1d86af17	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Shoot the car's tires to make it more difficult to drive.	本体/MTUT/Key:1e669386	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Leave the game to complete the tutorial.	本体/MTUT/Key:1e99ea5b	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~If you are the host you will be able to change a variety of options such as weapon types, game duration, and auto-aim.	本体/MTUT/Key:25450257	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~You can gain an advantage by aiming carefully. Headshots will cause extra damage.	本体/MTUT/Key:276ac2df	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Select Player Match from the Multiplayer menu on your phone.	本体/MTUT/Key:2bf98743	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~While riding as a passenger you can perform drivebys. Use ~INPUT_AIM~ and ~PAD_RSTICK_ALL~ to aim. Press ~INPUT_ATTACK~ to fire.	本体/MTUT/Key:2d0e66b5	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Select Menu.	本体/MTUT/Key:306e5576	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~You must remain on Charge Island to complete the multiplayer tutorial.	本体/MTUT/Key:30fbff5e	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~While riding as a passenger you can also drop grenades from your window. Hold ~INPUT_ATTACK~ to pull the pin, and release to drop the grenade.	本体/MTUT/Key:320c9f7f	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~If the auto-aim option is set to disallow, you cannot use the targeting system to lock onto opponents.	本体/MTUT/Key:3796a6fa	线上多人教程整组挂起(待拍板)
